Institución, Indicador, Rango de Indicador, 2013, 2014, 2015,2016, 2017, 2018, 2019, 2020, 2021,2022, 2023
Uninorte, H,    100  <= H index < 200 , 30, 41, 34, 49, 63, 106, 131, 148, 135, 131, 130
Uninorte, H,    H index >= 200 , 21, 10, 20, 24, 16, 45, 49, 64, 62, 54, 73
URosario, JSR,  0  <= JSR < 2 , 153, 173, 186, 198, 272, 261, 251, 370, 364, 303, 316
URosario, JSR,  2  <= JSR < 5 , 82, 112, 145, 194, 209, 307, 234, 253, 233, 265, 240
URosario, JSR,  5 <= JSR < 10 , 28, 14, 22, 21, 16, 10, 13, 23, 17, 42, 18
URosario, JSR,  10  <= JSR < 20 , 4, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0
URosario, JSR,  JSR >= 20 , 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0
URosario, H,    0  <= H index < 20 , 149,  153,  116,  110,  152,  139,  155,  183,  180,  192,  127
URosario, H,    20  <= H index < 50 , 36, 33, 45, 55, 100, 92, 84, 140, 120, 117, 129
URosario, H,    50 <= H index < 100 , 36, 37, 74, 81, 92, 147, 121, 199, 197, 203, 241
URosario, H,    100  <= H index < 200 , 55, 77,  93,  109,  129,  200,  143,  168,  186,  157,  138
URosario, H,    H index >= 200 , 46, 45, 70, 94, 97, 75, 70, 87, 84, 133, 90
UdeA, JSR,  0  <= JSR < 2 , 831, 764, 755, 889, 858, 937, 949, 1037, 1159, 1133, 908
UdeA, JSR,  2  <= JSR < 5 , 340, 393, 468, 479, 572, 579, 633, 711, 642, 605, 561
UdeA, JSR,  5 <= JSR < 10 , 34, 26, 37, 50, 54, 67, 51, 86, 87, 99, 113
UdeA, JSR,  10  <= JSR < 20 , 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
UdeA, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2
UdeA, H,    0  <= H index < 20 , 779,  610,  602,  522,  574,  554,  516,  511,  529,  501,  493
UdeA, H,    20  <= H index < 50 , 152,  197,  172,  225,  239,  238,  269,  322,  362,  405,  352
UdeA, H,    50 <= H index < 100 , 176,  198,  253,  300,  319,  329,  412,  496,  511,  550,  447
UdeA, H,    100  <= H index < 200 , 289,  260,  326,  395,  416,  457,  491,  604,  604,  588,  518
UdeA, H,    H index >= 200 , 150, 184, 230, 226, 259, 297, 282, 313, 286, 279, 294
UIS, JSR,  0  <= JSR < 2 , 243, 225, 242, 383, 418, 324, 565, 451, 429, 308, 278
UIS, JSR,  2  <= JSR < 5 , 77, 88, 112, 135, 131, 136, 201, 208, 204, 178, 188
UIS, JSR,  5 <= JSR < 10 , 2, 2, 4, 2, 14, 9, 9, 6, 16, 10, 10
UIS, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0
UIS, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
UIS, H,    0  <= H index < 20 , 132,  153,  171,  130,  160,  119,  160,  158,  157,  119,  124
UIS, H,    20  <= H index < 50 , 52, 56, 60, 103, 108, 87, 102, 126, 132, 131, 124
UIS, H,    50 <= H index < 100 , 83, 72, 76, 188, 199, 157, 345, 213, 236, 122, 127
UIS, H,    100  <= H index < 200 , 68, 73, 88, 91, 108, 94, 134, 157, 139, 129, 171
UIS, H,    H index >= 200 , 27, 40, 53, 75, 81, 87, 127, 112, 122, 108, 80
UN, JSR,  0  <= JSR < 2 , 1407,  1309,  1477,  1586,  1581,  1493,  1752,  1909,  1976,  1611,  1462
UN, JSR,  2  <= JSR < 5 , 465, 454, 521, 573, 733, 687, 816, 764, 831, 605, 692
UN, JSR,  5 <= JSR < 10 , 24, 11, 18, 28, 26, 32, 34, 30, 56, 49, 48
UN, JSR,  10  <= JSR < 20 , 0, 2, 0, 0, 2, 2, 2, 0, 0, 2, 10
UN, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
UN, H,    0  <= H index < 20 , 1047,  875,  1028,  1158,  964,  840,  981,  906,  904,  846,  1058
UN, H,    20  <= H index < 50 , 231,  323,  315,  381,  438,  435,  482,  504,  639,  579,  555
UN, H,    50 <= H index < 100 , 387,  372,  428,  433,  477,  511,  707,  819,  853,  652,  683
UN, H,    100  <= H index < 200 , 436,  398,  471,  467,  555,  584,  619,  732,  757,  575,  569
UN, H,    H index >= 200 , 223, 199, 226, 252, 345, 275, 390, 393, 399, 303, 307
UPB, JSR,  0  <= JSR < 2 , 162, 132, 156, 223, 231, 247, 278, 279, 282, 229, 213
UPB, JSR,  2  <= JSR < 5 , 34, 39, 52, 51, 61, 70, 79, 113, 100, 82, 99
UPB, JSR,  5 <= JSR < 10 , 4, 0, 4, 0, 2, 5, 4, 10, 8, 20, 8
UPB, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0
UPB, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0
UPB, H,    0  <= H index < 20 , 182,  128,  118,  118,  157,  275,  176,  180,  176,  152,  141
UPB, H,    20  <= H index < 50 , 34, 25, 43, 66, 61, 49, 63, 74, 81, 78, 63
UPB, H,    50 <= H index < 100 , 35, 24, 29, 92, 96, 113, 123, 131, 99, 99, 92
UPB, H,    100  <= H index < 200 , 39, 38, 40, 42, 49, 65, 73, 89, 92, 76, 110
UPB, H,    H index >= 200 , 17, 14, 27, 9, 16, 31, 38, 53, 48, 49, 35
Univalle, JSR,  0  <= JSR < 2 , 380, 410, 443, 591, 574, 479, 497, 646, 571, 602, 467
Univalle, JSR,  2  <= JSR < 5 , 139, 155, 177, 179, 210, 244, 231, 265, 246, 223, 226
Univalle, JSR,  5 <= JSR < 10 , 4, 4, 4, 14, 7, 10, 27, 35, 38, 24, 28
Univalle, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
Univalle, JSR,  JSR >= 20 , 2, 0, 0, 2, 2, 0, 1, 0, 0, 0, 0
Univalle, H,    0  <= H index < 20 , 271,  218,  312,  239,  226,  206,  189,  293,  270,  255,  310
